GS.WDT.2008215000000.BHN|[]
XX.YZP.2008193000000.BHZ|[[129960, 131985], [145250, 147875], [297950, 299550], [302700, 304475], [430115, 431915], [866115, 868490], [893410, 895910], [920940, 922090], [1261205, 1267880], [1310085, 1314335], [1387185, 1388835], [1393810, 1395335], [1473950, 1481075], [1482365, 1483815], [1518730, 1520405], [1668660, 1670410], [1910685, 1912735], [2028090, 2033665], [2055840, 2057640], [2149275, 2151325], [2176540, 2178640], [2270460, 2278635], [2351115, 2352240], [2383130, 2384955], [2460835, 2463260], [2469060, 2471835], [2490440, 2492715], [2661305, 2662980], [2873255, 2874855], [3064770, 3070445], [3135985, 3140010], [3299715, 3300990], [3301025, 3302625], [3565965, 3567240], [3960130, 3962605], [4220035, 4222210], [4337370, 4341520], [4396440, 4397640], [4441745, 4444445], [4599165, 4605465], [4787215, 4791165], [5208280, 5211080], [6704460, 6706260], [6888040, 6892190], [6892735, 6894310], [6907255, 6909530], [6927155, 6929155], [7948765, 7949815], [8054455, 8055605], [8146815, 8150740], [8166590, 8171615], [8292375, 8293925], [8303975, 8305175], [8423775, 8427425], [8501350, 8503150]]
XX.XCO.2008195000000.BHE|[[94180, 96005], [167205, 171755], [190565, 192240], [249105, 251630], [515225, 524775], [634160, 639010], [701360, 703810], [779475, 781650], [900595, 901970], [1099000, 1100400], [1581895, 1586020], [1855670, 1862295], [2216290, 2221915], [2237880, 2247030], [2356420, 2358245], [2397615, 2399540], [2460305, 2461355], [2571255, 2573530], [2761760, 2763385], [3000965, 3004890], [3375420, 3377545], [3528670, 3532095], [3686010, 3692435], [3798510, 3800510], [3837660, 3839160], [4004100, 4014500], [4078550, 4083700], [4110530, 4111530], [4134905, 4139355], [4206960, 4210760], [4219215, 4222865], [4334905, 4342780], [4425950, 4427975], [4649565, 4652315], [4688580, 4695855], [4972280, 4975180], [5003555, 5006780], [5516985, 5524010], [5573425, 5574525], [5827680, 5837805], [5843430, 5853855], [6045920, 6050870], [6111715, 6116415], [6126050, 6132050], [6153465, 6162140], [6418680, 6423080], [6649630, 6651530], [6667065, 6669840], [6855740, 6859115], [6928455, 6930355], [7183540, 7186815], [7217800, 7224575], [7671865, 7673215], [7784630, 7787405], [7787435, 7789460], [8060565, 8066240], [8427240, 8428865], [8520405, 8521880], [8521930, 8526655]]
XX.XJI.2008195000000.BHE|[[168620, 170095], [249960, 251835], [404285, 407085], [514100, 521250], [656175, 659450], [694565, 697815], [753385, 754535], [796895, 799345], [895425, 898225], [1093435, 1097035], [1324665, 1327165], [1499770, 1502470], [1856035, 1860885], [1885150, 1888400], [2200370, 2202945], [2215700, 2220425], [2237095, 2242945], [2474330, 2478480], [2565895, 2570370], [2655040, 2657690], [2997680, 3001530], [3358690, 3361915], [3425570, 3428270], [3686535, 3691110], [4009290, 4012340], [4015345, 4017695], [4242880, 4244430], [4328700, 4331575], [4333420, 4339095], [4377140, 4379015], [4688935, 4693735], [5195290, 5199315], [5328045, 5331420], [5516675, 5520725], [5531280, 5533530], [5828805, 5830980], [5831030, 5833255], [5840935, 5851160], [6108195, 6113345], [6186570, 6189195], [6373715, 6375765], [6420295, 6423695], [6480290, 6482665], [6514410, 6515560], [6663065, 6666515], [6852320, 6855770], [7006930, 7009205], [7217270, 7221845], [7785360, 7787210], [7969510, 7971985], [7974675, 7977600], [8178360, 8179635], [8199640, 8200940], [8321645, 8322820], [8340225, 8343225], [8422670, 8425395], [8556835, 8558885]]
XX.YGD.2008194000000.BHN|[[66495, 70370], [86195, 87495], [144015, 148165], [243355, 245130], [273400, 275025], [284070, 286920], [330600, 332025], [453900, 457025], [457075, 459450], [474890, 479290], [518060, 520360], [522550, 524575], [531860, 533410], [656940, 659040], [734465, 737315], [738720, 739720], [744280, 751780], [754425, 756225], [758795, 760370], [764940, 766790], [794545, 796270], [829185, 830635], [837750, 839025], [860785, 862035], [906840, 908515], [949705, 951080], [951600, 952625], [989400, 990375], [1037075, 1040775], [1125375, 1127250], [1155405, 1156905], [1237085, 1239235], [1240220, 1242570], [1345210, 1347485], [1362945, 1364095], [1455700, 1458525], [1538685, 1541685], [1621955, 1627530], [1627560, 1628610], [1684290, 1687165], [1702775, 1705425], [1803770, 1804995], [1869680, 1873055], [1878155, 1884030], [2101170, 2105470], [2113795, 2119595], [2141630, 2143805], [2143850, 2148825], [2150710, 2151760], [2233100, 2236300], [2374005, 2375905], [2797315, 2799990], [2800025, 2802000], [2980675, 2981700], [2994400, 2995650], [3171360, 3172710], [3268520, 3269620], [3308130, 3310655], [3382310, 3385860], [3388315, 3393440], [3395845, 3397520], [3397875, 3408100], [3408145, 3409745], [3410505, 3413530], [3414410, 3417860], [3444675, 3447225], [3466220, 3467670], [3483295, 3485795], [3564080, 3565155], [3719835, 3722485], [4015760, 4017010], [4031040, 4035990], [4315130, 4316355], [4704465, 4707615], [4711135, 4712560], [4713855, 4719005], [5029085, 5030185], [5267440, 5279165], [5288305, 5289530], [5315370, 5321320], [5458420, 5460270], [5460315, 5465215], [5558490, 5560590], [5795320, 5797245], [5879300, 5880925], [6471755, 6478730], [7155330, 7157680], [7287045, 7291820], [7454585, 7455810], [7456160, 7457185], [7465650, 7468850], [7696060, 7697160], [7704655, 7706080], [7754060, 7757285], [8026450, 8028300], [8141240, 8142565], [8218040, 8220240], [8362070, 8363920], [8372215, 8373290], [8398495, 8399870], [8400150, 8402400], [8427895, 8430045], [8453255, 8454730], [8454780, 8456805], [8469640, 8472065], [8477425, 8479025], [8553755, 8555805], [8586085, 8588260], [8620080, 8626430], [8632605, 8636755]]
XX.YZP.2008194000000.BHE|[[63435, 68110], [142505, 147980], [235620, 236770], [237490, 239040], [291395, 292995], [473570, 476995], [477185, 478960], [563315, 564415], [689355, 691255], [714090, 715265], [792465, 795965], [940110, 941210], [948460, 949535], [1240890, 1243690], [1251160, 1253210], [1324780, 1325880], [1341990, 1344690], [1453760, 1458910], [1535980, 1540880], [1738165, 1739765], [1877285, 1884210], [1887925, 1889000], [1962765, 1964040], [2099720, 2103645], [2111795, 2118445], [2230305, 2234355], [2248400, 2249475], [2255975, 2258825], [2399815, 2401740], [2793990, 2799115], [3306350, 3309475], [3380250, 3384400], [3397680, 3401955], [3408980, 3410305], [3717120, 3720670], [3721740, 3722940], [3910060, 3911210], [3971280, 3972255], [4012780, 4016780], [4029145, 4036395], [4054055, 4055680], [4055740, 4057565], [4066630, 4069730], [4195385, 4196935], [4216720, 4217795], [4311925, 4315400], [4320940, 4323665], [4506895, 4509120], [4514640, 4517040], [4537210, 4539210], [4584845, 4586295], [4587075, 4590100], [4664960, 4666260], [4702155, 4705730], [4708455, 4717255], [4855315, 4856615], [4928415, 4929940], [5243190, 5246465], [5252920, 5253970], [5264690, 5278540], [5283720, 5288495], [5313920, 5320445], [5374410, 5376885], [5417075, 5418300], [5457610, 5465185], [5555585, 5559060], [5562385, 5563485], [5717020, 5719720], [5792620, 5795445], [5816910, 5818735], [5876285, 5879435], [5898830, 5899830], [5997610, 5999985], [6002075, 6004500], [6051230, 6052380], [6071255, 6072905], [6100305, 6101705], [6206605, 6208155], [6291335, 6293185], [6411765, 6415065], [6442870, 6446095], [6470375, 6478000], [6519880, 6521330], [6662120, 6663870], [6701915, 6703115], [6728195, 6731095], [6938875, 6940300], [6967410, 6970135], [7000535, 7001785], [7102605, 7105205], [7152540, 7156290], [7168040, 7169840], [7285845, 7290195], [7384175, 7386425], [7436020, 7437945], [7463355, 7468080], [7575330, 7578580], [7646025, 7647475], [7653940, 7655265], [7692820, 7695920], [7701680, 7705705], [7705875, 7707325], [7752320, 7756745], [8057345, 8058720], [8138045, 8140845], [8155140, 8156915], [8467445, 8471470], [8515895, 8517170], [8550745, 8554695], [8582760, 8585760], [8621010, 8625010], [8630290, 8634490]]
XX.XCO.2008195000000.BHN|[[5715, 7340], [93975, 96650], [167370, 168720], [169205, 172780], [189945, 191845], [191890, 193315], [248955, 252955], [515280, 525955], [607325, 608475], [633095, 638070], [661280, 663155], [695795, 698295], [698345, 701345], [701380, 704205], [770945, 775895], [779050, 781875], [900475, 902550], [963810, 966285], [1098700, 1101075], [1225230, 1227055], [1396015, 1397390], [1581325, 1585900], [1855635, 1862585], [2216340, 2224390], [2238080, 2247555], [2356265, 2358540], [2397655, 2400030], [2571240, 2574440], [2656745, 2658920], [2761905, 2763605], [3000870, 3005045], [3375580, 3377955], [3528670, 3533820], [3643535, 3645410], [3651250, 3652425], [3686015, 3693640], [3754140, 3755515], [3798555, 3800255], [3837715, 3839090], [4004125, 4013600], [4079960, 4083860], [4110435, 4112210], [4134750, 4139550], [4206705, 4211430], [4219975, 4222825], [4334940, 4343365], [4425860, 4428935], [4649715, 4652915], [4688610, 4696785], [4972585, 4975735], [5004255, 5006380], [5198175, 5200825], [5418345, 5419645], [5434335, 5435335], [5452925, 5454500], [5455910, 5457410], [5467000, 5467975], [5517000, 5525100], [5573190, 5575115], [5683985, 5685160], [5827685, 5838985], [5843445, 5855295], [6045855, 6051780], [6065075, 6067450], [6111465, 6116090], [6126020, 6132945], [6153400, 6162250], [6281215, 6282815], [6405255, 6406980], [6418460, 6422585], [6425025, 6426575], [6649570, 6651070], [6667015, 6669790], [6784110, 6785735], [6855600, 6858100], [6928575, 6930350], [7182280, 7186530], [7217925, 7224375], [7604195, 7605170], [7636835, 7638235], [7671910, 7673885], [7784700, 7789950], [8060515, 8067040], [8378395, 8380570], [8427075, 8430300], [8519875, 8546800]]
XX.XJI.2008195000000.BHN|[[166795, 168645], [168695, 170695], [249800, 251700], [404870, 406995], [514110, 520085], [656175, 659050], [694560, 697435], [797805, 799330], [895480, 898855], [1093770, 1096845], [1324730, 1327155], [1499750, 1502350], [1856045, 1860595], [1885215, 1888590], [2215815, 2220065], [2237105, 2242555], [2474325, 2478200], [2565895, 2570345], [2655890, 2657690], [2997700, 3001650], [3358680, 3362005], [3425585, 3427685], [3642330, 3643755], [3688780, 3690505], [4009150, 4012025], [4015020, 4017720], [4242985, 4244435], [4248325, 4249875], [4329855, 4331530], [4333435, 4338135], [4377120, 4379070], [4690115, 4693140], [5177445, 5178770], [5196165, 5199590], [5248450, 5249500], [5328095, 5331170], [5518565, 5520490], [5531335, 5533435], [5607225, 5608225], [5828800, 5830125], [5831005, 5833480], [5840935, 5851485], [6108200, 6113250], [6186620, 6189395], [6279965, 6281340], [6373740, 6375440], [6420235, 6424635], [6480925, 6482600], [6514285, 6515560], [6663345, 6665845], [6852335, 6855760], [7006945, 7008770], [7217235, 7221985], [7784165, 7785340], [7785380, 7787280], [7969525, 7972150], [7974700, 7977625], [8178485, 8179560], [8199635, 8200960], [8340220, 8343245], [8422745, 8425920], [8557410, 8558810]]
XX.YGD.2008194000000.BHZ|[[64520, 70170], [87910, 89585], [144000, 148625], [273015, 274490], [474860, 479810], [517775, 519600], [522970, 523970], [528385, 530510], [737940, 739640], [794800, 796000], [901660, 902685], [907355, 908330], [989610, 990760], [1362835, 1364410], [1400100, 1401075], [1454840, 1459190], [1537335, 1542160], [1543765, 1544990], [1623540, 1625740], [1685190, 1688640], [1699495, 1706170], [1878145, 1884270], [1906840, 1907915], [2100585, 2104160], [2113595, 2118745], [2141780, 2143655], [2143685, 2147135], [2232685, 2235110], [2796920, 2800995], [2980910, 2981985], [3268430, 3269405], [3307415, 3309965], [3382265, 3384890], [3388355, 3391530], [3400245, 3405320], [3416625, 3417650], [3466225, 3468025], [3483295, 3484920], [3499960, 3501235], [3718790, 3721840], [4015705, 4017680], [4030975, 4034750], [4315020, 4316095], [4703485, 4706685], [4709680, 4712455], [4713995, 4717695], [5267420, 5278995], [5287860, 5289285], [5315045, 5321870], [5458155, 5464755], [5558405, 5559855], [5719740, 5720865], [5795040, 5796865], [5879140, 5881015], [6414425, 6415800], [6471740, 6478340], [7154725, 7158000], [7287245, 7290245], [7464480, 7468630], [7704085, 7706135], [7753885, 7757410], [8362520, 8363920], [8372140, 8373415], [8399510, 8402360], [8454845, 8456795], [8465910, 8467110], [8468920, 8471920], [8552225, 8555700], [8621900, 8626275], [8632115, 8636390]]
XX.YZP.2008194000000.BHN|[[63435, 64760], [65570, 67945], [142510, 147410], [235635, 236685], [237790, 239040], [291395, 293195], [473595, 476995], [477190, 479840], [563295, 564720], [689385, 691010], [792480, 795830], [940110, 941235], [948470, 949770], [955235, 956910], [1240875, 1243625], [1251340, 1253165], [1324760, 1326235], [1338590, 1341215], [1342020, 1344520], [1453765, 1458265], [1535980, 1540205], [1659860, 1660860], [1738170, 1739670], [1877280, 1884530], [1962765, 1964190], [2099715, 2103915], [2112070, 2117945], [2230315, 2234065], [2255995, 2259045], [2399830, 2401430], [2490120, 2491245], [2794020, 2801020], [3041555, 3043805], [3248250, 3250600], [3263735, 3264885], [3306345, 3309395], [3311570, 3313020], [3343615, 3344665], [3372165, 3373765], [3380255, 3383955], [3397655, 3401180], [3717120, 3720345], [3721675, 3722900], [3888555, 3889980], [3904770, 3906470], [3910055, 3911080], [3971285, 3972335], [4012775, 4017825], [4029155, 4035205], [4045500, 4046525], [4050825, 4051825], [4055705, 4057580], [4066625, 4069725], [4165380, 4168555], [4195380, 4196655], [4216720, 4217820], [4311905, 4315405], [4320955, 4323680], [4506885, 4509685], [4514630, 4517130], [4537215, 4538915], [4584835, 4586485], [4587025, 4590125], [4664960, 4666485], [4687885, 4688985], [4702175, 4705825], [4708400, 4711300], [4712160, 4717410], [4855365, 4856865], [4887290, 4888440], [4928420, 4929470], [5011450, 5014525], [5243180, 5245380], [5245585, 5246560], [5252910, 5254185], [5264510, 5265535], [5265570, 5275595], [5276235, 5278160], [5283770, 5288620], [5313920, 5319070], [5374410, 5377260], [5417055, 5418305], [5457740, 5463265], [5463305, 5464705], [5518690, 5520165], [5539065, 5540090], [5555685, 5559460], [5562360, 5563535], [5624670, 5625695], [5716960, 5719385], [5761000, 5762325], [5792580, 5795930], [5816920, 5819570], [5837720, 5839595], [5876285, 5879785], [5997615, 6000040], [6002065, 6004390], [6051230, 6052805], [6071260, 6072460], [6100330, 6101405], [6206630, 6208105], [6291330, 6293455], [6411750, 6415600], [6442875, 6445950], [6454720, 6455720], [6470365, 6478415], [6519885, 6521060], [6654105, 6655305], [6661230, 6664355], [6689675, 6690700], [6701915, 6703165], [6728190, 6730915], [6775070, 6776770], [6932800, 6934375], [6938875, 6939900], [6967390, 6970015], [7000530, 7001730], [7086220, 7087620], [7102615, 7104915], [7152555, 7156905], [7168040, 7169765], [7285845, 7289970], [7299700, 7301000], [7384185, 7386160], [7426235, 7427335], [7427455, 7428930], [7435990, 7437390], [7463360, 7467160], [7575305, 7578330], [7646040, 7647440], [7653925, 7655250], [7692815, 7695540], [7701680, 7704805], [7705945, 7707370], [7752325, 7756850], [7958610, 7959585], [8057350, 8058850], [8138035, 8140510], [8155145, 8156845], [8467445, 8471795], [8515900, 8517375], [8550735, 8554685], [8582735, 8585460], [8621010, 8625335], [8630290, 8635690]]
XX.XCO.2008195000000.BHZ|[[190225, 191525], [247420, 252495], [515205, 522705], [633055, 638305], [1579800, 1585175], [1855630, 1861955], [2216200, 2222700], [2237850, 2244250], [3686000, 3691850], [4004065, 4012140], [4078535, 4083535], [4133875, 4138350], [4205860, 4210410], [4334840, 4340840], [4688560, 4693935], [4971995, 4974645], [5516845, 5522495], [5827665, 5837290], [5843375, 5853625], [6045855, 6051055], [6109650, 6114950], [6125950, 6132250], [6153375, 6161175], [6418600, 6422150], [6855900, 6858075], [7181790, 7186490], [7217810, 7223685], [7784585, 7786360], [8060525, 8065725], [8520420, 8524845]]
XX.XJI.2008195000000.BHZ|[[168165, 170515], [249300, 251725], [514100, 520200], [656175, 659025], [694565, 697615], [796915, 798990], [895400, 898400], [1093615, 1096415], [1324735, 1327110], [1499770, 1502370], [1856010, 1860185], [1885175, 1888325], [2215715, 2220340], [2237095, 2243720], [2474320, 2477920], [2565860, 2570310], [2997675, 3000975], [3358690, 3361615], [3425565, 3427815], [3688735, 3690660], [4015485, 4017585], [4333425, 4338375], [4376290, 4378790], [4688920, 4693045], [5195285, 5199460], [5328040, 5330915], [5518525, 5520475], [5828755, 5832955], [5840935, 5850685], [6108190, 6113465], [6186575, 6189050], [6373735, 6375360], [6420270, 6423595], [6481325, 6482425], [6663085, 6666160], [6852320, 6855170], [7217270, 7221120], [7969490, 7971765], [7974675, 7976975], [8340230, 8343105], [8422690, 8426040]]
XX.YGD.2008195000000.BHE|[[17625, 19525], [45250, 47825], [62290, 64915], [76980, 78180], [90350, 93675], [119410, 120835], [137130, 138130], [146825, 148925], [157350, 160450], [168610, 170010], [173205, 174255], [195090, 197265], [200170, 201220], [205855, 208280], [208325, 210250], [225155, 229030], [230850, 232325], [239800, 241625], [243465, 245890], [248515, 253990], [268995, 270595], [276360, 277960], [278230, 279255], [279750, 281525], [305805, 308830], [309595, 311345], [315555, 317680], [319190, 321240], [333715, 337765], [347725, 349575], [360280, 361355], [366175, 368050], [368430, 371330], [371370, 372695], [373535, 374760], [381420, 386895], [392540, 393565], [411230, 412630], [414610, 415835], [417615, 418640], [427035, 428860], [478185, 479985], [483645, 484795], [491730, 493780], [507675, 509150], [514050, 521450], [543520, 545320], [548735, 551485], [551515, 552940], [560820, 562120], [572585, 573585], [578345, 583520], [583570, 585720], [590845, 593570], [596500, 598975], [605085, 606210], [606305, 608355], [610540, 611540], [620160, 621385], [656870, 661895], [661930, 663780], [664440, 665790], [681225, 682475], [686180, 687630], [688175, 690050], [690400, 691375], [696605, 697780], [697965, 699215], [701905, 702880], [702915, 706365], [724830, 725980], [726095, 727420], [727455, 729555], [736435, 737985], [740980, 742055], [744060, 746760], [746795, 747870], [760465, 761590], [787170, 788220], [789270, 791670], [791705, 793005], [815830, 817105], [817455, 821605], [821635, 825735], [828705, 830330], [839035, 842160], [862090, 863665], [863700, 865050], [876380, 878380], [890565, 892515], [897830, 898905], [932920, 934170], [940450, 941925], [948550, 950025], [954530, 956180], [970800, 975500], [994080, 995080], [1005345, 1006945], [1010410, 1011685], [1025880, 1027130], [1030220, 1037220], [1043420, 1046120], [1047310, 1048410], [1048930, 1050355], [1058540, 1059715], [1071675, 1072750], [1073885, 1075360], [1076880, 1078930], [1087220, 1088420], [1091035, 1093110], [1093480, 1097680], [1109275, 1112350], [1116760, 1118760], [1152130, 1154880], [1160860, 1162985], [1182310, 1183785], [1198540, 1201240], [1201935, 1203685], [1206910, 1209335], [1210905, 1213180], [1248585, 1249610], [1273365, 1275365], [1287385, 1289235], [1290360, 1292085], [1296530, 1298705], [1301460, 1303110], [1303485, 1307835], [1308555, 1309605], [1313160, 1314435], [1314465, 1316740], [1316770, 1318620], [1320955, 1322180], [1322380, 1324030], [1359340, 1360440], [1386290, 1388040], [1389600, 1396475], [1401670, 1402870], [1404985, 1406060], [1411655, 1413955], [1415785, 1417510], [1420550, 1427100], [1428950, 1430525], [1432765, 1433990], [1455885, 1456860], [1476875, 1480000], [1491735, 1492885], [1493795, 1496520], [1506520, 1507545], [1514205, 1515180], [1523515, 1525365], [1528815, 1529840], [1536875, 1538825], [1544045, 1545495], [1554640, 1556040], [1563050, 1564575], [1565470, 1568570], [1568620, 1571020], [1573040, 1574415], [1577590, 1578765], [1581345, 1582470], [1603060, 1604560], [1604600, 1606775], [1606805, 1607930], [1643770, 1645195], [1645805, 1647280], [1680660, 1682035], [1683320, 1685920], [1688730, 1691305], [1694475, 1695500], [1715025, 1718925], [1737855, 1739155], [1739200, 1741375], [1745365, 1747790], [1747835, 1750535], [1750870, 1755220], [1757125, 1759275], [1784430, 1786980], [1802650, 1803775], [1829780, 1831255], [1857770, 1860470], [1906790, 1908190], [1922835, 1925010], [1925040, 1926540], [1940780, 1942155], [1942195, 1943270], [1944790, 1947065], [1977265, 1978990], [1981625, 1982625], [1998285, 2000010], [2013565, 2014665], [2015995, 2017545], [2039575, 2041200], [2057685, 2059385], [2111015, 2112665], [2117510, 2118860], [2139515, 2141190], [2149420, 2150545], [2160010, 2161360], [2164805, 2167830], [2170570, 2172670], [2200270, 2202920], [2216400, 2220550], [2236370, 2244645], [2293425, 2296100], [2304240, 2305415], [2349500, 2351550], [2352955, 2355555], [2355775, 2357600], [2360835, 2363010], [2383580, 2385255], [2392660, 2395785], [2411320, 2412345], [2422235, 2423560], [2427630, 2429505], [2430465, 2431465], [2458425, 2460000], [2476595, 2477870], [2478045, 2481320], [2494510, 2496610], [2506420, 2508195], [2518460, 2520335], [2529030, 2531555], [2535535, 2536660], [2557055, 2558330], [2564755, 2565930], [2567635, 2570835], [2599745, 2600920], [2610730, 2613505], [2630850, 2633375], [2656450, 2658025], [2661160, 2662335], [2703040, 2704390], [2721140, 2722215], [2724670, 2725945], [2727060, 2728135], [2733830, 2735255], [2737845, 2739370], [2741090, 2742365], [2744670, 2746195], [2812235, 2813485], [2817060, 2820285], [2831135, 2832710], [2840070, 2841620], [2847740, 2849765], [2853145, 2854570], [2926780, 2928080], [2933600, 2934625], [2948470, 2949520], [2957930, 2960480], [2982845, 2983970], [2999330, 3001380], [3004555, 3005580], [3018880, 3021155], [3097915, 3099190], [3102585, 3104710], [3106200, 3107350], [3112960, 3114160], [3130125, 3132250], [3132940, 3135715], [3159725, 3161275], [3173725, 3175100], [3188660, 3191560], [3342825, 3344275], [3357690, 3358790], [3358840, 3359915], [3378880, 3380580], [3502580, 3504555], [3506015, 3507040], [3507285, 3508585], [3508945, 3510445], [3536085, 3537685], [3537830, 3539430], [3578060, 3579360], [3602965, 3604515], [3618820, 3620545], [3629810, 3631010], [3659025, 3660400], [3688105, 3690655], [3696345, 3697670], [3741215, 3742190], [3745415, 3746690], [3806990, 3808740], [3814200, 3815850], [3865240, 3866265], [3867085, 3868360], [3878050, 3879025], [3915800, 3918100], [3987005, 3988155], [4006900, 4010950], [4030285, 4032335], [4124545, 4126845], [4189945, 4191195], [4200595, 4202220], [4219330, 4220430], [4233140, 4234515], [4280765, 4282740], [4333625, 4339675], [4375575, 4376675], [4509110, 4510460], [4689625, 4692625], [4812415, 4813390], [4825700, 4827100], [4888405, 4889955], [5055890, 5057240], [5085575, 5088250], [5158520, 5160095], [5196630, 5199230], [5205550, 5209150], [5251785, 5253210], [5329410, 5331510], [5349800, 5351325], [5463455, 5465755], [5466965, 5469365], [5470220, 5472245], [5472305, 5473555], [5501570, 5503770], [5518520, 5520370], [5616130, 5617380], [5726350, 5727325], [5735460, 5736460], [5830410, 5832735], [5842075, 5847200], [5847285, 5851460], [6108275, 6112825], [6156590, 6160115], [6298045, 6299120], [6422715, 6424115], [6475535, 6477410], [6651635, 6653335], [6657800, 6659075], [6664645, 6666445], [6702045, 6703095], [6853120, 6855520], [6931135, 6933060], [7126125, 7127625], [7205500, 7206825], [7217025, 7218125], [7218165, 7221690], [7255475, 7259475], [7457770, 7459670], [7591895, 7593195], [7610050, 7611200], [7695255, 7696880], [7783965, 7785415], [7785455, 7786730], [7923105, 7924455], [7976780, 7978655], [7985725, 7986875], [8003280, 8005705], [8053685, 8056660], [8097510, 8098735], [8194145, 8195420], [8196945, 8197920], [8320355, 8322105], [8405980, 8407180], [8423385, 8427985], [8506410, 8507710], [8508105, 8509230], [8522225, 8523700], [8526580, 8528155], [8530645, 8533420], [8537510, 8538685], [8545505, 8546930], [8547620, 8551595], [8566150, 8567375], [8578565, 8582340], [8583015, 8585215], [8597595, 8600095], [8600140, 8601165], [8612040, 8613840], [8614760, 8617460], [8618770, 8620170], [8623790, 8625815]]
XX.YZP.2008194000000.BHZ|[[63440, 67565], [142505, 148080], [291415, 292990], [473590, 477015], [563315, 564540], [689380, 691305], [940110, 941385], [948460, 949485], [1240870, 1243645], [1251100, 1252900], [1453765, 1458040], [1535975, 1540625], [1659850, 1660825], [1877270, 1884520], [1962765, 1964165], [2099710, 2103760], [2112070, 2117170], [2230305, 2234630], [2255965, 2258690], [2399820, 2401870], [2794020, 2799495], [3263740, 3264865], [3306365, 3309190], [3380260, 3381310], [3381355, 3383680], [3397690, 3401190], [3717120, 3719720], [3721735, 3722785], [3888555, 3890180], [3910055, 3911180], [3971280, 3972530], [4012765, 4016565], [4029150, 4035300], [4066600, 4069475], [4311905, 4314955], [4320935, 4323610], [4506870, 4509220], [4514630, 4517305], [4537205, 4539055], [4584835, 4586535], [4587075, 4589450], [4664960, 4666435], [4702170, 4706045], [4708445, 4712095], [4712160, 4716010], [4928405, 4929405], [5243175, 5245025], [5252920, 5253920], [5264535, 5278260], [5283750, 5288825], [5313920, 5319445], [5374410, 5376160], [5457615, 5464865], [5555670, 5558920], [5792620, 5795570], [5799025, 5800125], [5816910, 5818635], [5876285, 5879435], [5997605, 5999830], [6002050, 6004200], [6100315, 6101540], [6206610, 6208235], [6291325, 6293250], [6411755, 6415030], [6470350, 6477225], [6728190, 6730540], [6967395, 6969620], [7000580, 7001655], [7102595, 7104445], [7152535, 7156360], [7168040, 7169465], [7285845, 7289545], [7463350, 7467600], [7575325, 7578175], [7646025, 7647425], [7653930, 7655380], [7692835, 7695360], [7701675, 7704800], [7705925, 7707125], [7752320, 7756620], [8057365, 8058365], [8138035, 8140760], [8467445, 8470870], [8515895, 8517170], [8550740, 8553965], [8582745, 8584945], [8621010, 8624635], [8630290, 8635065]]
XX.XCO.2008196000000.BHE|[[15445, 21195], [110110, 124685], [183365, 186690], [431510, 433660], [453645, 454770], [1069295, 1076020], [1089705, 1099305], [1155560, 1158760], [1196175, 1201875], [1487675, 1488650], [1571305, 1573480], [1708610, 1713635], [1917340, 1923190], [2046290, 2053790], [3406030, 3407080], [3676290, 3679915], [3712090, 3718840], [3743815, 3745015], [3996220, 3998895], [4021290, 4028165], [4046900, 4050350], [4126530, 4130330], [4341320, 4345195], [4673135, 4681435], [4776410, 4780735], [5061105, 5066480], [5190850, 5192175], [5814735, 5817035], [6301240, 6303890], [6885445, 6888945], [7182515, 7205965], [7612855, 7614955], [7985265, 7987640], [8002270, 8009895], [8440205, 8443655], [8450235, 8462460]]
XX.XJI.2008196000000.BHE|[[74480, 76355], [98360, 102035], [112085, 124660], [168220, 172320], [205655, 210230], [452865, 454290], [683865, 686115], [779420, 782170], [857810, 860685], [1069315, 1074465], [1090165, 1096265], [1137875, 1139975], [1155440, 1157590], [1218765, 1221090], [1571635, 1573960], [1662600, 1664350], [1735145, 1736270], [1813390, 1814565], [1854645, 1856120], [1857230, 1860055], [1914890, 1921390], [2715815, 2718590], [2821080, 2823555], [2977610, 2979135], [3100040, 3103890], [3673705, 3677605], [3711505, 3716455], [4018285, 4025460], [4106435, 4108110], [4282195, 4285620], [4670470, 4677770], [5668785, 5670335], [5811260, 5815210], [6084940, 6088365], [6858965, 6861815], [6879455, 6885380], [7182345, 7200745], [7202275, 7204450], [7385330, 7388080], [7552785, 7554885], [7866115, 7867615], [7918735, 7921010], [7984155, 7987805], [8002650, 8007275], [8291735, 8293985], [8449985, 8458860], [8479360, 8480810]]
